"","barcodevalue","basisofrecord","bed","catalognumber","class","collectioncode","collectionid","collectionname","collector","commonname","continent","country","countrycode","county","datecollected","datemodified","dqs","earliestageorloweststage","earliestepochorlowestseries","earliesteraorlowesterathem","earliestperiodorlowestsystem","etag","eventdate","family","fieldnumber","formation","gbif_cannonicalname","gbif_genus","gbif_specificepithet","gbif_taxonid","genus","latitude","longitude","group","hasImage","highertaxon","individualcount","infraspecificepithet","institutioncode","institutionid","institutionname","kingdom","latestageorhigheststage","latestepochorhighestseries","latesteraorhighesterathem","latestperiodorhighestsystem","lithostratigraphicterms","locality","lowestbiostratigraphiczone","maxdepth","maxelevation","member","mindepth","minelevation","municipality","occurrenceid","order","phylum","recordnumber","recordset","name","specificepithet","stateprovince","typestatus","uuid","verbatimeventdate","verbatimlocality","version","waterbody","prov","inst_cat"
"135",NA,"preservedspecimen",NA,"zo-7936","aves","zo",NA,NA,"latham, roy c.",NA,"north america","united states","usa","suffolk",1921-05-04 00:00:00,"2015-02-22T10:52:54.404000+00:00","0.433333333333333",NA,NA,NA,NA,"6fe9850c53be17490eb4bd5589ec6886624eacac","1921-05-04","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","41.146324","-72.290293",NA,"FALSE","animalia | chordata | aves | [not recorded] | ardeidae | butorides","1",NA,"nysm","urn:lsid:biocol.org:col:35009",NA,"animalia",NA,NA,NA,NA,NA,"southold twp.  orient.",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:nysm:zo:zo-7936","pelecaniformes","chordata",NA,"a8f0fbaf-68b3-4e73-83d7-24d238ac966d","butorides virescens","virescens","new york",NA,"279169bc-e77c-49dc-972a-1911ff468ae3","1921-05-04","usa | new york | suffolk | southold twp.  orient.",NA,"north atlantic ocean","idigbio","nysm_zo-7936"
"136",NA,"preservedspecimen",NA,"2449","aves","bird eggs/nests","73",NA,"collector(s): o. holstein",NA,"north america","united states","usa",NA,1897-05-08 00:00:00,"2014-12-04T09:54:09.868000+00:00","0.4",NA,NA,NA,NA,"b857021fa5698c8ba9d52ef5e0d1bc79be2ea3b6","1897-05-08","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","animalia; chordata; aves; ciconiiformes; ardeidae;","1",NA,"dmns",NA,NA,"animalia",NA,NA,NA,NA,NA,"emporia",NA,NA,NA,NA,NA,NA,NA,"urn:occurrence:arctos:dmns:egg:2449:2057648","pelecaniformes","chordata","1","a8add96d-651c-488e-8ca3-ed3f85c7a117","butorides virescens","virescens","kansas",NA,"279e8fb0-92fd-47f5-93d1-1b0635cdc342","5/8/1897","emporia",NA,NA,"idigbio","dmns_2449"
"137",NA,"preservedspecimen",NA,"205514","aves","eggs",NA,NA,"frank h. bryant","green heron","north america","united states","usa","dane",1897-05-16 00:00:00,"2015-03-10T03:17:24.809000+00:00","0.416666666666667",NA,NA,NA,NA,"4a231d5586b77385b1239525d28054f2ec2ac75c","1897-05-16","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","ardeidae",NA,NA,"wfvz","urn:lsid:biocol.org:col:34967",NA,"animalia",NA,NA,NA,NA,NA,"madison",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:wfvz:eggs:205514","pelecaniformes","chordata",NA,"5ace330b-5888-4a46-a5ac-e428535ed4f3","butorides virescens","virescens","wisconsin",NA,"27aa9e48-42ac-4423-a37f-314b98ec1bcb",NA,"usa | wisconsin | dane | madison",NA,NA,"idigbio","wfvz_205514"
"138",NA,"preservedspecimen",NA,"zo-10120","aves","zo",NA,NA,"malick, donald",NA,"north america","united states","usa","cattaraugus",1950-10-04 00:00:00,"2015-02-22T10:52:46.095000+00:00","0.416666666666667",NA,NA,NA,NA,"dfee26625abc408287cfa08cf648a409aedad4d3","1950-10-04","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","animalia | chordata | aves | [not recorded] | ardeidae | butorides","1",NA,"nysm","urn:lsid:biocol.org:col:35009",NA,"animalia",NA,NA,NA,NA,NA,"olean twp.  [not recorded].",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:nysm:zo:zo-10120","pelecaniformes","chordata",NA,"a8f0fbaf-68b3-4e73-83d7-24d238ac966d","butorides virescens","virescens","new york",NA,"2823afc9-023a-46fd-9948-b9669199c901","1950-10-04","usa | new york | cattaraugus | olean twp.  [not recorded].",NA,NA,"idigbio","nysm_zo-10120"
"139",NA,"preservedspecimen",NA,"12880","aves","birds","urn:lsid:biocol.org:col:34958",NA,"noton & schmidly; arnold,k.a.",NA,"north america","united states","usa","delta",1981-07-20 00:00:00,"2015-02-21T14:58:44.043000+00:00","0.433333333333333",NA,NA,NA,NA,"dd9f80910a3c737b46eebe9dffeea809a2af4b99","1981-07-20","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","ciconiiformes | ardeidae |  | butorides",NA,NA,"tcwc","urn:lsid:biocol.org:col:34844",NA,"animalia",NA,NA,NA,NA,NA,"2 mi by road s klondike",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:tcwc:birds:12880","pelecaniformes","chordata","5882","79dfdec6-3e24-489c-a7ce-85dcc52bc3f9","butorides virescens","virescens","texas",NA,"2859d05c-9bf8-4eae-b5e8-4cb9e0ae663e",NA,"usa | texas | delta | 2 mi by road s klondike",NA,NA,"idigbio","tcwc_12880"
"140",NA,"preservedspecimen",NA,"18096","aves","bird specimens","urn:lsid:biocol.org:col:34950",NA,"collector(s): amadeo m. rea",NA,"north america","mexico","mex",NA,1970-07-07 00:00:00,"2015-01-07T17:35:16.786000+00:00","0.4",NA,NA,NA,NA,"3c0533fd747885b20ebbfc098f75442620a7ff9c","1970-07-07","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","animalia chordata aves ciconiiformes ardeidae","1",NA,"msb","urn:lsid:biocol.org:col:34495",NA,"animalia",NA,NA,NA,NA,NA,"tecolutta; 4 mi n",NA,NA,NA,NA,NA,NA,NA,"urn:occurrence:arctos:msb:bird:18096:1612312","pelecaniformes","chordata","3024","011880b9-7697-4626-946f-258a68f754cb","butorides virescens","virescens","veracruz",NA,"287286ea-9999-43f7-8ada-6c30f443c612","7 jul 1970","tecolutta; 4 mi n",NA,NA,"idigbio","msb_18096"
"141",NA,"preservedspecimen",NA,"205534","aves","eggs",NA,NA,"richard f. miller","green heron","north america","united states","usa","cape may",1922-06-11 00:00:00,"2015-03-10T02:14:19.634000+00:00","0.416666666666667",NA,NA,NA,NA,"a5083dc980b501a2c8685eb37aa0585d08ed1dbf","1922-06-11","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","ardeidae",NA,NA,"wfvz","urn:lsid:biocol.org:col:34967",NA,"animalia",NA,NA,NA,NA,NA,"peermont, holiday beach",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:wfvz:eggs:205534","pelecaniformes","chordata",NA,"5ace330b-5888-4a46-a5ac-e428535ed4f3","butorides virescens","virescens","new jersey",NA,"28760629-56df-4ce4-be66-d4fbc7191384",NA,"usa | new jersey | cape may | peermont, holiday beach",NA,NA,"idigbio","wfvz_205534"
"142",NA,"preservedspecimen",NA,"9757","aves","bird specimens",NA,NA,"collector(s): chester c. lamb",NA,"north america","mexico","mex",NA,1933-09-28 00:00:00,"2015-01-06T22:06:16.416000+00:00","0.433333333333333",NA,NA,NA,NA,"b09162620bee6dbf45291bece0e918d6beef900f","1933-09-28","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","25.458424","-108.079763",NA,"FALSE","animalia; chordata; aves; ciconiiformes; ardeidae;","1",NA,"mlz","urn:lsid:biocol.org:col:35295",NA,"animalia",NA,NA,NA,NA,NA,"guamuchil",NA,NA,"54.864",NA,NA,"54.864",NA,"urn:occurrence:arctos:mlz:bird:9757:592004","pelecaniformes","chordata","18159","c2e06358-1f9f-463c-843f-446c0a37fbd0","butorides virescens","virescens","sinaloa",NA,"2884edb0-db29-4c3e-b38f-0cf922af745b","28 sep 1933","guamuchil",NA,NA,"idigbio","mlz_9757"
"143",NA,"preservedspecimen",NA,"bird-11999","aves","bird",NA,NA,"l. richmond",NA,"north america","united states","usa",NA,1894-05-01 00:00:00,"2015-02-22T04:43:18.168000+00:00","0.4",NA,NA,NA,NA,"14579342f6901de883f83bfa5a7d95756622c76d","1894-05-01","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","44.3050694","-69.9769954",NA,"FALSE","aves | ciconiiformes | ardeidae | butorides",NA,NA,"psm","urn:lsid:biocol.org:col:34825",NA,"animalia",NA,NA,NA,NA,NA,"winthrop",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:psm:bird:bird-11999","pelecaniformes","chordata",NA,"e6d3c1da-a02f-43a2-a5ef-6a035298b933","butorides virescens","virescens","maine",NA,"28b8bb31-d722-46e7-b9d1-ab68a5ef1b12",NA,"usa | maine | centre | winthrop",NA,NA,"idigbio","psm_bird-11999"
"144",NA,"preservedspecimen",NA,"osum birds e 4353","aves","birds",NA,NA,"henninger, w. f. (walther frederick)",NA,"north america","united states","usa","seneca",NA,"2015-02-21T10:56:34.989000+00:00","0.283333333333333",NA,NA,NA,NA,"39f474e894171393c6a3f6c9364383fd48b3aad1",NA,"ardeidae",NA,NA,NA,NA,NA,NA,"butorides","40.8424","-83.3044",NA,"FALSE",NA,"4",NA,"ohio state university - bird division, columbus, oh (osum)",NA,NA,"animalia",NA,NA,NA,NA,NA,"tiffin, seneca, ohio, usa",NA,NA,NA,NA,NA,NA,NA,"urn:lsid:biosci.ohio-state.edu:osuc_occurrences:osum__birds__e__4353","pelecaniformes","chordata",NA,"3b9ecf1e-3c04-4d8b-84cd-9ae48e70e13a","butorides virescens","virescens","ohio",NA,"2944331a-7b79-42ae-a8a9-a8fde095424f",NA,NA,NA,NA,"idigbio","ohio state university - bird division, columbus, oh (osum)_osum birds e 4353"
"145",NA,"preservedspecimen",NA,"bird-11868","aves","bird",NA,NA,"f. c. willard",NA,"north america","united states","usa","cochise",1909-06-27 00:00:00,"2015-02-22T04:44:47.168000+00:00","0.416666666666667",NA,NA,NA,NA,"5efa6e44442f0680c20909925918ebae9b1bc35b","1909-06-27","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","31.7231903","-110.1884308",NA,"FALSE","aves | ciconiiformes | ardeidae | butorides",NA,NA,"psm","urn:lsid:biocol.org:col:34825",NA,"animalia",NA,NA,NA,NA,NA,"fairbank",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:psm:bird:bird-11868","pelecaniformes","chordata",NA,"e6d3c1da-a02f-43a2-a5ef-6a035298b933","butorides virescens","virescens","arizona",NA,"2a454e36-2142-411f-8570-71f70e332f1b",NA,"usa | arizona | cochise | fairbank",NA,NA,"idigbio","psm_bird-11868"
"146",NA,"preserved specimen",NA,"12066.0","aves","birds",NA,NA,"g. d. schnell","green heron","north america","mexico","mex",NA,1973-01-05 00:00:00,"2014-06-25T20:20:17.096000+00:00","0.366666666666667",NA,NA,NA,NA,"2768321d47ab7f732a18cb66f1c380cf65e79146","1973-01-05","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE",NA,NA,NA,"omnh",NA,NA,"animalia",NA,NA,NA,NA,NA,"3 miles east of cuyutlan",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:omnh:birds:12066","pelecaniformes","chordata",NA,"3fedbb40-3988-4665-bf86-6b1c89c57215","butorides virescens","virescens","colima",NA,"2a7716ac-5ede-404f-ba9a-16f4eb03f41d","5 january 1973",NA,NA,NA,"idigbio","omnh_12066.0"
"147",NA,"preservedspecimen",NA,"20028","aves","bird",NA,NA,"dickerman",NA,"north america","mexico","mex",NA,1961-12-19 00:00:00,"2015-03-10T09:56:53.970000+00:00","0.383333333333333",NA,NA,NA,NA,"294814cb7cecf61e3dccb5519034083ecf83eb47","1961-12-19","ardeidae",NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE","|  |  | ciconiiformes | ardeidae | butorides",NA,NA,"mmnh","http://grbio.org/cool/2060-6rgs",NA,"animalia",NA,NA,NA,NA,NA,"2mi e of tlacotalpan",NA,NA,NA,NA,NA,NA,NA,"f318f93e-7e08-11e3-81f0-12313d0829ba","pelecaniformes","chordata",NA,"c778d536-e9d4-422e-8e34-1d74a01f4c48","butorides virescens","virescens","veracruz",NA,"2a934cb7-f854-49d9-bf85-1b340001ea5e",NA,"undefined | mexico | veracruz | 2mi e of tlacotalpan",NA,NA,"idigbio","mmnh_20028"
"148",NA,"preservedspecimen",NA,"ypm orn 117501","aves","vz",NA,NA,"f. w. trevor","green heron","north america","united states","usa","dutchess county",NA,"2015-04-18T06:42:22.016000+00:00","0.35",NA,NA,NA,NA,"38412374056939fa6e14d22306b103d5fae1c08a",NA,"ardeidae",NA,NA,NA,NA,NA,NA,"butorides","41.7667","-73.7",NA,"FALSE","animalia; chordata; vertebrata; amniota; aves; neornithes; neognathae; pelecaniformes; ardeidae","1",NA,"ypm",NA,NA,"animalia",NA,NA,NA,NA,NA,"millbrok school for boys zoo",NA,NA,NA,NA,NA,NA,"millbrook","urn:uuid:65589e1a-d90a-4847-8ff5-5e62dbfb8d07","pelecaniformes","chordata",NA,"8fc08919-1137-42e4-9fa5-9e64f1e5757b","butorides virescens","virescens","new york",NA,"2aaba1e5-3157-4080-b8dc-9c08053e67c2",NA,NA,NA,NA,"idigbio","ypm_ypm orn 117501"
"149",NA,"preservedspecimen",NA,"12525","aves","ncsm-birds",NA,NA,NA,NA,"north america","united states","usa","new hanover",1980-09-25 00:00:00,"2015-03-11T01:45:20.063000+00:00","0.266666666666667",NA,NA,NA,NA,"d0d56b2a1728603ad0acb6a254a8a0221efff7ac",NA,NA,NA,NA,NA,NA,NA,NA,"butorides",NA,NA,NA,"FALSE",NA,NA,NA,"ncsm","http://grbio.org/cool/aasf-rm4s",NA,"animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14c59709-dc06-410e-aed2-f4a0b7010f0a",NA,"chordata",NA,"4438ad00-6ba8-4900-8793-3b5c182150b4","butorides virescens","virescens","north carolina",NA,"2ab06e6e-6940-4577-a47f-40c6b3ad075f",NA,NA,NA,NA,"idigbio","ncsm_12525"
"150",NA,"preservedspecimen",NA,"74421","aves","bird","http://grbio.org/cool/ywsm-eq6q",NA,"unknown",NA,"north america","united states","usa","leon",1983-03-08 00:00:00,"2015-03-10T08:46:01.706000+00:00","0.45",NA,NA,NA,NA,"ad2c182eecb24fa1f28220ccd555314b81850dec","1983-03-08","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","30.6000938","-84.2871093",NA,"FALSE","ciconiiformes | ardeidae | butorides",NA,NA,"dmnh","http://biocol.org/urn:lsid:biocol.org:col:34940",NA,"animalia",NA,NA,NA,NA,NA,"tallahassee, ca. 20 mi. n; wctv tower",NA,NA,NA,NA,NA,NA,NA,"a79b67d4-c591-11e3-acd2-03413f76937f","pelecaniformes","chordata",NA,"605bb19b-7564-4e6d-a5df-8ec841d68ba0","butorides virescens","virescens","florida",NA,"2ac6f10e-e999-4a3e-88f7-de00d1a98c7b","08mar1983","north america | usa | florida | leon | tallahassee, ca. 20 mi. n; wctv tower",NA,NA,"idigbio","dmnh_74421"
"151",NA,"preservedspecimen",NA,"337","aves","av",NA,NA,NA,NA,"north america","united states","usa","san luis obispo",1961-05-27 00:00:00,"2015-02-21T09:20:37.324000+00:00","0.416666666666667",NA,NA,NA,NA,"83d057c3467970039c646948f66f0648a3f2567c","1961-05","ardeidae",NA,NA,NA,NA,NA,NA,"butorides","35.0680556","-120.6083333",NA,"FALSE","animalia:chordata:aves:ciconiiformes:ardeidae:butorides","1",NA,"sbmnh","urn:lsid:biocol.org:col:34834",NA,"animalia",NA,NA,NA,NA,NA,"dune lakes; 2.5 mi s oceano",NA,NA,"12.192",NA,NA,"12.192",NA,"urn:catalog:sbmnh:av:337","pelecaniformes","chordata",NA,"9d8ced48-62c5-4ce0-99e7-a03550c674c0","butorides virescens","virescens","california",NA,"2b024f0d-965c-4a65-a3fc-6863d8ae8bb9",NA,"north america; united states; california; san luis obispo county; ; ; ;",NA,NA,"idigbio","sbmnh_337"
